ID,Name,NumYears,MinYear,MeanYear,StdDevYears,MaxYear
350,Anoop Sarkar,1,2012,2012,0,2012
351,Anqi Cao,1,2019,2019,0,2019
352,Anselm Spoerri,2,1993,1998.5,7.77817459305202,2004
353,Anselmo Lastra,2,1997,1997.5,0.707106781186548,1998
354,Anshul Vikram Pandey,2,2014,2015,1.4142135623731,2016
355,Anthony C. Robinson,6,2006,2007.83333333333,1.72240142436851,2011
356,Anthony D. Nguyen,1,2009,2009,0,2009
357,Anthony Hamins,1,1994,1994,0,1994
358,Anthony J. Bladek,1,1993,1993,0,1993
359,Anthony J. Maeder,1,1990,1990,0,1990
360,Anthony J. Sherbondy,2,2003,2003.5,0.707106781186548,2004
361,Anthony K. H. Tung,1,2017,2017,0,2017
362,Anthony Kouroupis,1,2021,2021,0,2021
363,Anthony S. Wexler,1,2012,2012,0,2012
364,Anthony Thane,1,2004,2004,0,2004
365,Antoine Lambert,1,2009,2009,0,2009
366,Anton Bardera,1,2011,2011,0,2011
367,Anton L. Fuhrmann,2,1997,1997.5,0.707106781186548,1998
368,Anton Leuski,1,2000,2000,0,2000
369,Anton Strezhnev,1,2016,2016,0,2016
370,Antonello Moneta,1,2006,2006,0,2006
371,Antoni Sagristà,2,2016,2017,1.4142135623731,2018
372,Antonio Fernandez,1,2002,2002,0,2002
373,Antonio Murga,1,1996,1996,0,1996
374,Antonio Zorcolo,1,1998,1998,0,1998
375,Antonios Somarakis,1,2020,2020,0,2020
376,Antony Unwin,1,2012,2012,0,2012
377,Antti Oulasvirta,1,2014,2014,0,2014
378,António M. Baptista,1,2003,2003,0,2003
379,Anuj R. Jaiswal,3,2007,2008.33333333333,2.3094010767585,2011
380,Anuj R. Shah,1,2004,2004,0,2004
381,Anushiya Arunan,1,2015,2015,0,2015
382,Anushka Anand,7,2005,2011.71428571429,3.54562104171167,2015
383,Anya Samak,2,2008,2008.5,0.707106781186548,2009
384,Anzu Hakone,1,2016,2016,0,2016
385,Aoyu Wu,4,2019,2020,0.816496580927726,2021
386,Aran Lunzer,1,1997,1997,0,1997
387,Arden V. Nelson,1,1991,1991,0,1991
388,Arie E. Kaufman,59,1990,2002.15254237288,7.6852154510037,2021
389,Ariel Shamir,2,2000,2001.5,2.12132034355964,2003
390,Arif Ghafoor,1,2019,2019,0,2019
391,Arin M. Ellingson,1,2014,2014,0,2014
392,Aritra Dasgupta,6,2010,2014.5,3.50713558335004,2019
393,Arjeh M. Cohen,1,2005,2005,0,2005
394,Arjun Choudhry,1,2020,2020,0,2020
395,Arjun Srinivasan,4,2017,2018,1.4142135623731,2020
396,Arlen Fan,1,2020,2020,0,2020
397,Arlind Nocaj,2,2012,2014,2.82842712474619,2016
398,Armin Kanitsar,7,2001,2003.14285714286,1.95180014589707,2007
399,Armin Pobitzer,1,2012,2012,0,2012
400,Arnaud Prouzeau,2,2020,2020,0,2020
401,Arnaud Sallaberry,1,2014,2014,0,2014
402,Arno Krüger,1,2008,2008,0,2008
403,Arnold Köchl,4,2004,2008.25,4.92442890089805,2013
404,Arpan Mangal,1,2019,2019,0,2019
405,Arpit Narechania,5,2020,2020.6,0.547722557505166,2021
406,Artem Amirkhanov,3,2010,2012.33333333333,3.21455025366432,2016
407,Artem Konev,1,2014,2014,0,2014
408,Artem R. Oganov,1,2008,2008,0,2008
409,Artem Sokolov,1,2019,2019,0,2019
410,Arthur D. Gregory,1,2000,2000,0,2000
411,Arthur E. Kirkpatrick,1,2005,2005,0,2005
412,Arthur E. Mynett,1,1995,1995,0,1995
413,Arthur G. Erdman,1,2013,2013,0,2013
414,Arthur G. Telea,1,2013,2013,0,2013
415,Arthur J. Olson,3,2004,2013,7.81024967590665,2018
416,Arthur R. A. Bouwman,1,2018,2018,0,2018
417,Arthur van Goethem,2,2014,2015,1.4142135623731,2016
418,Arun Reddy Nelakurthi,1,2020,2020,0,2020
419,Arvid Lundervold,1,2012,2012,0,2012
420,Arvind Kumar Shekar,2,2020,2020.5,0.707106781186548,2021
421,Arvind Satyanarayan,6,2015,2018.66666666667,2.58198889747161,2021
422,Asher Pembroke,1,2015,2015,0,2015
423,Ashish Kapoor,1,2015,2015,0,2015
424,Ashley D. Spear,1,2019,2019,0,2019
425,Ashley Rye Yauilla,1,2011,2011,0,2011
426,Ashley Suh,1,2019,2019,0,2019
427,Ashley Wheat,1,2015,2015,0,2015
428,Ashok Jallepalli,2,2017,2018,1.4142135623731,2019
429,Astri J. Lundervold,1,2012,2012,0,2012
430,Astrid E. Visser,1,2000,2000,0,2000
431,Atharva Kulkarni,1,2021,2021,0,2021
432,Atsumi Imamiya,1,1998,1998,0,1998
433,Attila Gyulassy,13,2005,2013.38461538462,5.70874273283913,2021
434,Atul Nayak,1,2004,2004,0,2004
435,Atul Rungta,1,2013,2013,0,2013
436,Audace Nakeshimana,1,2019,2019,0,2019
437,Aude Oliva,2,2013,2014,1.4142135623731,2015
438,Audra Buck-Coleman,1,2011,2011,0,2011
439,Audrey Bowerman,1,2012,2012,0,2012
440,Audrey S. Wang,1,2018,2018,0,2018
441,Augusto Román,1,2004,2004,0,2004
442,Aurélie Cohé,1,2015,2015,0,2015
443,Aurélien Tabard,2,2014,2017.5,4.94974746830583,2021
444,Austin H. Patton,1,2020,2020,0,2020
445,Austin P. Wright,1,2021,2021,0,2021
446,Avin Pattath,1,2006,2006,0,2006
447,Avital Steinitz,1,2013,2013,0,2013
448,Aviv Madar,1,2014,2014,0,2014
449,Avneesh Sud,1,2004,2004,0,2004
450,Awalin Sopan,1,2011,2011,0,2011
451,Axel Friedrich,1,1998,1998,0,1998
