ID,Name,NumYears,MinYear,MeanYear,StdDevYears,MaxYear
1517,Elisa De Llano,1,2017,2017,0,2017
1518,Elisa Portes dos Santos,1,2012,2012,0,2012
1519,Elisabeth André,1,2017,2017,0,2017
1520,Elisha Sacks,2,1998,2001,4.24264068711928,2004
1521,Elizabeth Braunstein,1,2011,2011,0,2011
1522,Elizabeth G. Hetzler,6,1998,2001.5,2.58843582110896,2005
1523,Elizabeth H. Keating,1,2012,2012,0,2012
1524,Elizabeth Jurrus,3,2000,2000.33333333333,0.577350269189626,2001
1525,Elizabeth M. Wenzel,1,1990,1990,0,1990
1526,Elizabeth Munch,1,2019,2019,0,2019
1527,Elizabeth Nanthakumar,1,1999,1999,0,1999
1528,Elizabeth Shoop,2,1995,1995.5,0.707106781186548,1996
1529,Elke A. Rundensteiner,12,1999,2004.41666666667,3.62963392427424,2011
1530,Elke Moritz,1,2004,2004,0,2004
1531,Ellen Diep,1,2004,2004,0,2004
1532,Ellen Gasparovic,1,2019,2019,0,2019
1533,Ellen Isaacs,1,2014,2014,0,2014
1534,Ellen Longmire,2,2003,2003.5,0.707106781186548,2004
1535,Ellen Yi-Luen Do,1,2003,2003,0,2003
1536,Elliot Fishman,1,1991,1991,0,1991
1537,Elliot K. Fishman,1,1994,1994,0,1994
1538,Elmar Eisemann,8,2015,2017.75,2.31455024943138,2021
1539,Elsie Lee-Robbins,2,2020,2020.5,0.707106781186548,2021
1540,Elvir Azanli,1,1999,1999,0,1999
1541,Emanuel Zgraggen,1,2014,2014,0,2014
1542,Emanuele Santos,1,2009,2009,0,2009
1543,Emden R. Gansner,1,2004,2004,0,2004
1544,Emil Axelsson,2,2017,2018,1.4142135623731,2019
1545,Emil Praun,1,2003,2003,0,2003
1546,Emile A. Hendriks,1,2010,2010,0,2010
1547,Emilio Vital Brazil,1,2012,2012,0,2012
1548,Emily Fujimoto,1,2009,2009,0,2009
1549,Emily Kuang,1,2021,2021,0,2021
1550,Emily R. Miraldi,1,2014,2014,0,2014
1551,Emily Wall,7,2016,2018.71428571429,2.21466970556828,2021
1552,Emmanuel Frécon,1,1998,1998,0,1998
1553,Emmanuel Pietriga,2,2011,2015,5.65685424949238,2019
1554,Emmy-Charlotte Förster,1,2015,2015,0,2015
1555,Enamul Hoque,2,2017,2018,1.4142135623731,2019
1556,Endre Bangerter,1,1999,1999,0,1999
1557,Enrico Bertini,16,2007,2014.25,3.35658556671309,2020
1558,Enrico Gobbetti,5,1998,2003.2,5.21536192416212,2011
1559,Enrico Puppo,2,1997,1997.5,0.707106781186548,1998
1560,Enxun Wei,2,2013,2013,0,2013
1561,Enya Shen,1,2014,2014,0,2014
1562,Enylton Machado Coelho,2,2007,2007.5,0.707106781186548,2008
1563,Ephraim P. Glinert,2,1991,1994,4.24264068711928,1997
1564,Erdem Kaya,1,2016,2016,0,2016
1565,Erel Uziel,1,2011,2011,0,2011
1566,Eren Cakmak,2,2018,2019,1.4142135623731,2020
1567,Erez Zadok,1,2019,2019,0,2019
1568,Eric A. Bier,2,2008,2009.5,2.12132034355964,2011
1569,Eric A. Stern,1,1998,1998,0,1998
1570,Eric A. Wernert,3,1997,1998,1,1999
1571,Eric B. Lum,4,2001,2002.5,1.29099444873581,2004
1572,Eric Bayer,1,1996,1996,0,1996
1573,Eric Boivin,1,2010,2010,0,2010
1574,Eric Bouvier,1,1999,1999,0,1999
1575,Eric Brugger,1,2005,2005,0,2005
1576,Eric C. Alexander,2,2014,2014.5,0.707106781186548,2015
1577,Eric C. Lundberg,1,1999,1999,0,1999
1578,Eric Christopher Wyatt,1,2004,2004,0,2004
1579,Eric D. Ragan,2,2015,2016.5,2.12132034355964,2018
1580,Eric Delson,1,2005,2005,0,2005
1581,Eric E. Monson,1,2010,2010,0,2010
1582,Eric Grosse,1,1991,1991,0,1991
1583,Eric Hoffman,1,1996,1996,0,1996
1584,Eric J. Golin,1,1993,1993,0,1993
1585,Eric J. Rawdon,1,2005,2005,0,2005
1586,Eric LaMar,1,1999,1999,0,1999
1587,Eric Lecolinet,2,2007,2011,5.65685424949238,2015
1588,Eric Lee,1,2009,2009,0,2009
1589,Eric Liu,1,2012,2012,0,2012
1590,Eric Luke,1,2002,2002,0,2002
1591,Eric P. Hoffman,1,2009,2009,0,2009
1592,Eric Petajan,1,1995,1995,0,1995
1593,Eric S. Cowgill,1,2012,2012,0,2012
1594,Eric SanJuan,1,2006,2006,0,2006
1595,Eric Sauda,2,2007,2011,5.65685424949238,2015
1596,Eric Shaffer,2,2001,2001.5,0.707106781186548,2002
1597,Eric T. Ahrens,1,1998,1998,0,1998
1598,Eric T. Stanton,2,2004,2005.5,2.12132034355964,2007
1599,Erich Gstrein,2,2015,2016,1.4142135623731,2017
1600,Erich P. Stuntebeck,1,2009,2009,0,2009
1601,Erik Broberg,1,2017,2017,0,2017
1602,Erik M. M. Manders,1,2000,2000,0,2000
1603,Erik Reinhard,1,2002,2002,0,2002
1604,Erik Sundén,3,2011,2012.66666666667,2.08166599946613,2015
1605,Erik Trostmann,1,2016,2016,0,2016
1606,Erik W. Anderson,1,2010,2010,0,2010
1607,Erik Wistrand,1,1995,1995,0,1995
1608,Erik-Jan van der Linden,1,2006,2006,0,2006
1609,Erika Darling,1,2004,2004,0,2004
1610,Ernest F. Retzel,2,1995,1995.5,0.707106781186548,1996
1611,Ernesto A. Bjerg,2,2014,2014.5,0.707106781186548,2015
1612,Ernst Gschwind,1,1990,1990,0,1990
1613,Ernst Kleiberg,1,2001,2001,0,2001
1614,Erwin Keeve,2,1996,2000,5.65685424949238,2004
1615,Eser Kandogan,1,2012,2012,0,2012
1616,Eston Schweickart,1,2016,2016,0,2016
1617,Ethan Cerami,1,2021,2021,0,2021
1618,Ethan Howe,1,2004,2004,0,2004
1619,Ethan Kerzner,1,2018,2018,0,2018
1620,Ethan L. Miller,1,1996,1996,0,1996
1621,Ethan Perry,1,2004,2004,0,2004
1622,Ethan R. Deyle,1,2020,2020,0,2020
1623,Etienne Parkinson,1,2004,2004,0,2004
1624,Euan Freeman,1,2021,2021,0,2021
1625,Eugen Zizer,1,2017,2017,0,2017
1626,Eugene Bart,1,2014,2014,0,2014
1627,Eugene I. Kelton,1,2003,2003,0,2003
1628,Eugene Lengerich,1,2003,2003,0,2003
1629,Eugene Stanley,1,1997,1997,0,1997
1630,Eugene Wu 0002,2,2018,2019.5,2.12132034355964,2021
1631,Eugene Zhang,11,2000,2013.36363636364,7.61935334884434,2021
1632,Eun Ju Nam,1,2007,2007,0,2007
1633,Eun Kyoung Choe,2,2018,2018.5,0.707106781186548,2019
1634,Eunyee Koh,2,2021,2021,0,2021
1635,Eva Mayr,1,2012,2012,0,2012
1636,Eva Schuberth,1,2007,2007,0,2007
1637,Evan A. Suma,2,2007,2008.5,2.12132034355964,2010
1638,Evan M. Peck,3,2015,2016.33333333333,1.52752523165195,2018
1639,Evangelos E. Milios,1,2012,2012,0,2012
1640,Evanthia Dimara,5,2016,2018.2,1.92353840616713,2021
1641,Evatt R. Hawkes,1,2011,2011,0,2011
1642,Eveline H. J. Mestrom,1,2018,2018,0,2018
1643,Eytan Adar,7,2011,2017.14285714286,3.97611918955202,2021
1644,Ezekiel S. Bhasker,2,2006,2006.5,0.707106781186548,2007
1645,F. David Fracchia,7,1994,1995.57142857143,0.975900072948533,1997
1646,F. James Rohlf,1,2005,2005,0,2005
1647,Fabian Beck 0001,7,2010,2015.71428571429,4.07080195679286,2021
1648,Fabian Bendix,1,2005,2005,0,2005
1649,Fabian Fischer 0001,3,2011,2013.33333333333,2.08166599946613,2015
1650,Fabian Günther,1,2018,2018,0,2018
1651,Fabian Jirasek,1,2021,2021,0,2021
1652,Fabian Maass,2,2011,2011.5,0.707106781186548,2012
1653,Fabian Sperrle,3,2017,2018,1,2019
1654,Fabiano Petronetto,1,2015,2015,0,2015
1655,Fabien Bosquet,2,1999,2002,4.24264068711928,2005
1656,Fabien Dubuffet,1,2002,2002,0,2002
1657,Fabien Jourdan,2,2003,2003.5,0.707106781186548,2004
1658,Fabio Dias,2,2015,2015.5,0.707106781186548,2016
1659,Fabio Ganovelli,2,2003,2004,1.4142135623731,2005
1660,Fabio Marton,3,2003,2006.33333333333,4.16333199893227,2011
1661,Fabio Miranda 0001,1,2016,2016,0,2016
1662,Fabio Sikansi,1,2014,2014,0,2014
1663,Faisal Taher,1,2016,2016,0,2016
1664,Fakir S. Nooruddin,1,2000,2000,0,2000
1665,Falk Schreiber,1,2008,2008,0,2008
1666,Falko Kuester,1,2007,2007,0,2007
1667,Fan Du,5,2016,2019.2,2.16794833886788,2021
1668,Fan Hong,2,2014,2015.5,2.12132034355964,2017
1669,Fan-Yin Tzeng,2,2003,2004,1.4142135623731,2005
1670,Fanbo Deng,1,2010,2010,0,2010
1671,Fang Xu,1,2007,2007,0,2007
1672,Fang-Xin Ou-Yang,1,2018,2018,0,2018
1673,Fangfang Sheng,1,2020,2020,0,2020
1674,Fangfang Zhou,4,2018,2019.25,0.957427107756338,2020
1675,Fangzhao Wu,1,2014,2014,0,2014
1676,Fangzhou Guo,1,2018,2018,0,2018
1677,Fanny Chevalier,16,2010,2015.75,3.37638860322683,2021
1678,Farah Kamw,1,2016,2016,0,2016
1679,Faramarz F. Samavati,1,2015,2015,0,2015
1680,Faraz Zaidi,1,2009,2009,0,2009
1681,Farhan Mohamed,1,2012,2012,0,2012
1682,Fariba Khan,1,2019,2019,0,2019
1683,Fatih Korkmaz,1,2014,2014,0,2014
1684,Fausto Bernardini,1,2002,2002,0,2002
1685,Faye Moser,1,2021,2021,0,2021
1686,Fearn Bishop,1,2019,2019,0,2019
1687,Federico Ponchio,2,2003,2004,1.4142135623731,2005
1688,Federico Rossi,1,2020,2020,0,2020
1689,Fedor Korsakov,1,2014,2014,0,2014
1690,Fei Wang,1,2014,2014,0,2014
1691,Fei Wang 0016,2,2014,2015,1.4142135623731,2016
1692,Fei Wu 0001,1,2015,2015,0,2015
1693,Feiran Wu,2,2014,2016,2.82842712474619,2018
1694,Felesia Stukes,2,2008,2009,1.4142135623731,2010
1695,Felica Frankel,1,1998,1998,0,1998
1696,Felipe S. L. G. Duarte,1,2014,2014,0,2014
1697,Felix Brodkorb,1,2015,2015,0,2015
1698,Felix Raith,1,2018,2018,0,2018
1699,Felix Ritter,1,2006,2006,0,2006
1700,Feng Dong 0005,2,2001,2006.5,7.77817459305202,2012
1701,Feng Luo,2,2018,2019,1.4142135623731,2020
1702,Feng Luo 0002,1,2013,2013,0,2013
1703,Feng Qiu,3,2004,2005.66666666667,1.52752523165195,2007
1704,Feng Tian 0001,1,2009,2009,0,2009
1705,Feng Tian 0006,1,2007,2007,0,2007
1706,Feng Wang 0012,2,2014,2016,2.82842712474619,2018
1707,Feng Wang 0013,1,2018,2018,0,2018
1708,Fenjin Ye,1,2017,2017,0,2017
1709,Fereshteh Amini,2,2016,2016,0,2016
1710,Fergus Merritt,1,1990,1990,0,1990
1711,Fernanda B. Viégas,9,2004,2011.11111111111,5.41858940233629,2019
1712,Fernando Grinstein,2,1992,1994,2.82842712474619,1996
1713,Fernando Vega Higuera,1,2005,2005,0,2005
1714,Fernando Vieira Paulovich,7,2007,2011.57142857143,4.35343323738644,2020
1715,Fidelia Ibekwe-Sanjuan,1,2006,2006,0,2006
1716,Filip Dabek,1,2016,2016,0,2016
1717,Filip Sadlo,13,2004,2012.30769230769,5.21831095573742,2020
1718,Finale Doshi-Velez,1,2017,2017,0,2017
1719,Firdaus Janoos,1,2007,2007,0,2007
1720,Flavie Cernesson,1,2014,2014,0,2014
1721,Florence Le Ber,1,2014,2014,0,2014
1722,Florence Nicol,1,2017,2017,0,2017
1723,Florence Y. Wang,1,2020,2020,0,2020
1724,Florian Block,1,2012,2012,0,2012
1725,Florian Ferstl,4,2009,2012.5,3.51188458428425,2016
1726,Florian Foerster,1,2014,2014,0,2014
1727,Florian Frieß,1,2016,2016,0,2016
1728,Florian Gerhardt,1,2007,2007,0,2007
1729,Florian Grassinger,1,2017,2017,0,2017
1730,Florian Heimerl,6,2012,2015.16666666667,2.78687399547713,2020
1731,Florian Jürgen Gerhardt,1,2008,2008,0,2008
1732,Florian Ladstädter,1,2008,2008,0,2008
1733,Florian Ledermann,1,2002,2002,0,2002
1734,Florian Lindemann,1,2011,2011,0,2011
1735,Florian Mansmann,4,2006,2008.25,2.21735578260835,2011
1736,Florian Morr,1,2007,2007,0,2007
1737,Florian Reichl,1,2012,2012,0,2012
1738,Florian Sobieczky,1,1996,1996,0,1996
1739,Florian Spechtenhauser,2,2016,2016,0,2016
1740,Florian Stoffel,2,2011,2012.5,2.12132034355964,2014
1741,Fosca Giannotti,1,2009,2009,0,2009
1742,Francesca Samsel,2,2017,2018,1.4142135623731,2019
1743,Francesco Parisio,1,2018,2018,0,2018
1744,Francine Chen 0001,2,2017,2018.5,2.12132034355964,2020
1745,Francine Evans,1,1996,1996,0,1996
1746,Francis Kilian,1,2020,2020,0,2020
1747,Francis Lazarus,1,1998,1998,0,1998
1748,Francis Nguyen,1,2018,2018,0,2018
1749,Francis P. Boscoe,1,1998,1998,0,1998
1750,Francisco Diaz,1,2015,2015,0,2015
1751,Francisco M. Fatore,1,2014,2014,0,2014
1752,Frank Bossen,1,1999,1999,0,1999
1753,Frank Dachille,2,1999,2000,1.4142135623731,2001
1754,Frank Drews,2,2001,2002,1.4142135623731,2003
1755,Frank Enders,2,2005,2005.5,0.707106781186548,2006
1756,Frank Grave,2,2005,2006.5,2.12132034355964,2008
1757,Frank H. Duffy,1,1992,1992,0,1992
1758,Frank Hardisty,1,2003,2003,0,2003
1759,Frank J. Post,1,1995,1995,0,1995
1760,Frank J. Rybicki,1,2011,2011,0,2011
1761,Frank Keul,1,2014,2014,0,2014
1762,Frank Krüger 0001,1,2015,2015,0,2015
1763,Frank Losasso,1,2003,2003,0,2003
1764,Frank Michel 0001,2,2006,2006.5,0.707106781186548,2007
1765,Frank Reck,1,1999,1999,0,1999
1766,Frank Staals,1,2016,2016,0,2016
1767,Frank Suits,2,2000,2000.5,0.707106781186548,2001
1768,Frank Zeilfelder,3,2001,2003,2,2005
1769,Frank van Ham,11,2001,2005.18181818182,2.78633026822672,2009
1770,Frans A. Gerritsen,3,2005,2006.66666666667,1.52752523165195,2008
1771,Frans C. A. Groen,1,1998,1998,0,1998
1772,Frans Vos,5,1998,2004.8,5.06951674225463,2012
1773,Franz Sauer,1,2014,2014,0,2014
1774,Franz Wanner,1,2012,2012,0,2012
1775,Franziska Sauka,1,2014,2014,0,2014
1776,François Bertel,1,2005,2005,0,2005
1777,François Guimbretière,1,1999,1999,0,1999
1778,François Gygi,1,2009,2009,0,2009
1779,François Vachon,1,2012,2012,0,2012
1780,Françoise Détienne,1,2015,2015,0,2015
1781,Fraser Anderson,1,2020,2020,0,2020
1782,Fred Alyea,1,1995,1995,0,1995
1783,Fred Dietrich,1,2003,2003,0,2003
1784,Fred Hohman,5,2017,2019.2,1.48323969741913,2021
1785,Fred L. Wefer,1,1992,1992,0,1992
1786,Fred Olislagers,1,2012,2012,0,2012
1787,Frederick Federer,2,2017,2018.5,2.12132034355964,2020
1788,Frederick L. Kitson,1,1998,1998,0,1998
1789,Frederick P. Brooks Jr.,3,1993,1995,2,1997
1790,Frederick W. B. Li,1,2006,2006,0,2006
1791,Frederik L. Dennig,1,2019,2019,0,2019
1792,Frederik Schramm,1,2005,2005,0,2005
1793,Frederik Seiffert,1,2010,2010,0,2010
1794,Freek Nossin,1,2005,2005,0,2005
1795,Friedrich W. von Henke,1,2009,2009,0,2009
1796,Frits H. Post,10,1993,2002.3,6.29020402424807,2010
1797,Frits Koning,1,2017,2017,0,2017
1798,Fritz Gschwantner,1,2012,2012,0,2012
1799,Fritz Lekschas,4,2017,2019.25,1.70782512765993,2021
1800,Frédéric Gilbert 0001,1,2009,2009,0,2009
1801,Frédéric Vernier,1,2018,2018,0,2018
1802,Fujio Tsutsumi,1,2004,2004,0,2004
1803,Fuling Sun,2,2020,2020.5,0.707106781186548,2021
1804,Fumeng Yang,3,2014,2018.33333333333,3.78593889720018,2021
1805,Funda Kivran-Swaine,1,2010,2010,0,2010
1806,Fuqu Wu,1,2007,2007,0,2007
1807,Furu Wei,3,2010,2011.66666666667,2.88675134594813,2015
1808,Furui Cheng,3,2019,2020,1,2021
1809,G. Celniker,1,1993,1993,0,1993
1810,G. D. Abrams,1,1992,1992,0,1992
1811,G. D. Montanaro,1,1992,1992,0,1992
1812,G. David Kerlick,3,1990,1992.66666666667,2.51661147842358,1995
1813,G. David Richardson,1,2018,2018,0,2018
1814,G. Edward Lent,1,1994,1994,0,1994
1815,G. Elisabeta Marai,7,2004,2014.71428571429,5.85133277451345,2021
1816,G. Muccioli,1,1993,1993,0,1993
1817,Gabor Heinemann,1,2012,2012,0,2012
1818,Gabriel Cantareiro,1,2011,2011,0,2011
1819,Gabriel Mistelbauer,2,2012,2012.5,0.707106781186548,2013
1820,Gabriel Ryan,1,2018,2018,0,2018
1821,Gabriel Taubin,5,1998,2001,2.44948974278318,2004
1822,Gabriela Ferracutti,2,2014,2014.5,0.707106781186548,2015
1823,Gail-Joon Ahn,1,2004,2004,0,2004
1824,Galileo Namata,1,2011,2011,0,2011
1825,Gaofeng Deng,1,2021,2021,0,2021
1826,Gaoqi He,1,2021,2021,0,2021
1827,Garet Lahvis,1,2004,2004,0,2004
1828,Gareth Daniel,1,2003,2003,0,2003
1829,Gareth Smith,1,1998,1998,0,1998
1830,Gargi Bhattacharya,1,2009,2009,0,2009
1831,Garnett Carl Wilson,1,2010,2010,0,2010
1832,Gary K. L. Tam,1,2016,2016,0,2016
1833,Gary King,1,2016,2016,0,2016
1834,Gary L. Kinzel,2,1996,1996,0,1996
1835,Gary W. Meyer,2,1991,1998,9.89949493661167,2005
1836,Gaurav Garg,1,2004,2004,0,2004
1837,Gautam Kumar,1,2006,2006,0,2006
1838,Gaël Guennebaud,1,2008,2008,0,2008
1839,Gemma Sanderson,1,2019,2019,0,2019
1840,Gene Golovchinsky,2,1995,1995,0,1995
1841,Gene Payne,1,2019,2019,0,2019
1842,Gennady L. Andrienko,20,2007,2012.45,3.91320302242764,2020
1843,Geoff Dorn,1,1994,1994,0,1994
1844,Geoffrey M. Draper,1,2008,2008,0,2008
1845,Geoffrey P. Bingham,1,2002,2002,0,2002
1846,Geoffrey P. Ellis,4,2006,2010.5,4.65474668125631,2015
1847,Geoffrey S. Young,1,2019,2019,0,2019
1848,Georg Fuchs,1,2017,2017,0,2017
1849,Georg Geier,2,2008,2008.5,0.707106781186548,2009
1850,Georg Zotti,1,2005,2005,0,2005
1851,George Baciu,1,2021,2021,0,2021
1852,George Chin,1,2006,2006,0,2006
1853,George Cybenko,1,1991,1991,0,1991
1854,George Drettakis,1,2002,2002,0,2002
1855,George Em Karniadakis,2,2000,2002,2.82842712474619,2004
1856,George Fekete,1,1992,1992,0,1992
1857,George Francis,1,1996,1996,0,1996
1858,George G. Robertson,8,1999,2006,3.20713490294909,2009
1859,George Hutchinson,1,2003,2003,0,2003
1860,George Legrady,1,2010,2010,0,2010
1861,George Loriot,2,2004,2005,1.4142135623731,2006
1862,George Michailidis,1,2009,2009,0,2009
1863,George N. Phillips Jr.,1,2009,2009,0,2009
1864,George Otto,1,2000,2000,0,2000
1865,George S. Almási,1,1997,1997,0,1997
1866,George S. Davidson,2,1996,1998.5,3.53553390593274,2001
1867,George Spanos,1,1998,1998,0,1998
1868,George Sugihara,1,2020,2020,0,2020
1869,Georges G. Grinstein,15,1991,2000,6.56832224718437,2009
1870,Georges Grinstein,1,1991,1991,0,1991
1871,Georges-Pierre Bonneau,4,1996,1998.25,1.70782512765993,2000
1872,Georgia Albuquerque,5,2009,2011.2,2.28035085019828,2015
1873,Georgios Sakas,3,1992,1994,2,1996
1874,Gerald Gainant,1,2004,2004,0,2004
1875,Gerald L. Lohse,2,1990,1991.5,2.12132034355964,1993
1876,Gerald M. Pao,1,2020,2020,0,2020
1877,Gerald Penn,1,2009,2009,0,2009
1878,Gerald W. Edgar,1,1990,1990,0,1990
1879,Geraldine E. Rosario,1,2003,2003,0,2003
1880,Gerard Lommerse,1,2005,2005,0,2005
1881,Gerhard Daiber,1,1993,1993,0,1993
1882,Gerhard Heyer,1,2010,2010,0,2010
1883,Gerhard Klimeck,2,2005,2005.5,0.707106781186548,2006
1884,Gerhard Pittino,1,2009,2009,0,2009
1885,Gerhard Steinebach,1,2004,2004,0,2004
1886,Gerik Scheuermann,28,1997,2007.35714285714,6.26107484391124,2020
1887,Gero Strauß,1,2008,2008,0,2008
1888,Gerome Miklau,1,2020,2020,0,2020
1889,Gevorg Grigoryan,1,2002,2002,0,2002
1890,Ghassan Hamarneh,1,2010,2010,0,2010
1891,Ghulam Jilani Quadri,2,2020,2020,0,2020
1892,Gian Italo Bischi,1,2000,2000,0,2000
1893,Gianluca Lazzi,1,1996,1996,0,1996
1894,Gianmaria Silvello,1,2012,2012,0,2012
1895,Gianne Derks,1,1995,1995,0,1995
1896,Gill Barequet,2,1996,1996.5,0.707106781186548,1997
1897,Gilles Bailly,2,2015,2016.5,2.12132034355964,2018
1898,Gina Eosco,1,2010,2010,0,2010
1899,Gina Venolia,1,2011,2011,0,2011
1900,Ginette Wessel,1,2007,2007,0,2007
1901,Giorgio Corani,1,2011,2011,0,2011
1902,Giorgio Gaglia,1,2021,2021,0,2021
1903,Giovane R. Kuhn,1,2008,2008,0,2008
1904,Gitta Domik,1,1994,1994,0,1994
1905,Giuseppe Carenini,1,1998,1998,0,1998
1906,Giuseppe Di Battista,1,2006,2006,0,2006
1907,Giuseppe Santucci,2,2012,2015,4.24264068711928,2018
1908,Gleb Bahmutov,1,2004,2004,0,2004
1909,Glen N. Williams,1,1997,1997,0,1997
1910,Glenn A. Fink,1,2009,2009,0,2009
1911,Glenn Sun,1,2021,2021,0,2021
1912,Glenn Taylor,1,2012,2012,0,2012
1913,Gokhan Sever,1,2018,2018,0,2018
1914,Gokul Varadhan,2,2002,2002.5,0.707106781186548,2003
1915,Gonzalo A. Ramos,2,2011,2011.5,0.707106781186548,2012
1916,Gopal Patnaik,1,1992,1992,0,1992
1917,Gopal Sarma Pingali,1,2001,2001,0,2001
1918,Gord Davison,1,2004,2004,0,2004
1919,Gordon Clapworthy,2,2001,2006.5,7.77817459305202,2012
1920,Gordon D. Mallison,1,1992,1992,0,1992
1921,Gordon Erlebacher,6,2000,2002.16666666667,1.72240142436851,2005
1922,Gordon Ferguson,1,1991,1991,0,1991
1923,Gordon L. Kindlmann,15,1999,2007,6.02376246923086,2018
1924,Gordon Stoll,1,1992,1992,0,1992
1925,Gordon V. Bancroft,1,1990,1990,0,1990
1926,Gordon Woodhull,1,2015,2015,0,2015
1927,Gosia Migut,2,2010,2010.5,0.707106781186548,2011
1928,Graeme Gange,1,2015,2015,0,2015
1929,Graham D. Finlayson,1,2002,2002,0,2002
1930,Graham Dove,1,2013,2013,0,2013
1931,Graham J. Wills,5,1993,1996,1.87082869338697,1998
1932,Graham Johnson,2,2017,2017.5,0.707106781186548,2018
1933,Graham Kent,1,2004,2004,0,2004
1934,Graham Kosiba,1,2021,2021,0,2021
1935,Graham R. Brookes,3,1998,1999,1,2000
1936,Grant P. Gruetzmacher,1,2004,2004,0,2004
1937,Grant Wallace,1,2002,2002,0,2002
1938,Graziano Blasilli,1,2018,2018,0,2018
1939,Greg A. Dasch,1,2007,2007,0,2007
1940,Greg Abram,4,1995,2007.75,10.8128010555391,2019
1941,Greg Banecki,1,1993,1993,0,1993
1942,Greg Eisenhauer,1,1995,1995,0,1995
1943,Greg Humphreys,2,1999,2001.5,3.53553390593274,2004
1944,Greg Johnson,1,2004,2004,0,2004
1945,Greg L. Nelson,1,2018,2018,0,2018
1946,Greg Marchand,1,2009,2009,0,2009
1947,Greg Ross,2,2002,2002.5,0.707106781186548,2003
1948,Greg Roth,1,2004,2004,0,2004
1949,Greg Smith,3,2006,2008.66666666667,3.78593889720018,2013
1950,Greg Turk,4,1998,2000.75,2.21735578260835,2003
1951,Greg Welch,3,1999,1999.66666666667,0.577350269189626,2000
1952,Gregor Schlosser,1,2005,2005,0,2005
1953,Gregorio Palmas,1,2014,2014,0,2014
1954,Gregory A. Turner,1,1995,1995,0,1995
1955,Gregory Cipriano,3,2007,2008,1,2009
1956,Gregory D. Abowd,2,2008,2008.5,0.707106781186548,2009
1957,Gregory Guterman,1,2016,2016,0,2016
1958,Gregory Heinlein,2,2015,2015.5,0.707106781186548,2016
1959,Gregory J. Wiet,1,2001,2001,0,2001
1960,Gregory J. Zelinsky,1,2006,2006,0,2006
1961,Gregory L. Schussman,3,1997,2000.33333333333,3.51188458428425,2004
1962,Gregory M. Nielson,15,1990,1999.2,4.75394572960189,2006
1963,Gregory P. Johnson,4,2004,2010.75,5.7373048260195,2016
1964,Gregory Piatetsky-Shapiro,1,1996,1996,0,1996
1965,Gregory R. Ganger,1,2013,2013,0,2013
1966,Gregory S. Aldering,1,2008,2008,0,2008
1967,Gregory W. Shirah,1,2002,2002,0,2002
1968,Grigory Antipov,1,2021,2021,0,2021
1969,Gromit Yeuk-Yin Chan,2,2018,2018.5,0.707106781186548,2019
1970,Grzegorz Ligierko,1,2009,2009,0,2009
1971,Grzegorz Soza,1,2014,2014,0,2014
1972,Guadalupe Canahuate,2,2019,2020,1.4142135623731,2021
1973,Guan Li,1,2020,2020,0,2020
1974,Guang Lin,2,2016,2016,0,2016
1975,Guang R. Gao,1,2002,2002,0,2002
1976,Guang-Zhong Yang,2,1991,1998,9.89949493661167,2005
1977,Guangchen Ruan,1,2014,2014,0,2014
1978,Guangfeng Ji,2,2003,2004.5,2.12132034355964,2006
1979,Guangliang Chen,1,2010,2010,0,2010
1980,Guangxia Li,1,2015,2015,0,2015
1981,Guangyu Zou,3,2009,2011.33333333333,2.51661147842358,2014
1982,Gudrun Klinker,1,1993,1993,0,1993
1983,Guia Gali,1,2013,2013,0,2013
1984,Guido Granato,1,2012,2012,0,2012
1985,Guido Reina,6,2007,2013.66666666667,5.27888877195444,2021
1986,Guido Tack,2,2016,2018,2.82842712474619,2020
1987,Guihua Shan,1,2020,2020,0,2020
1988,Guilherme P. Telles,2,2007,2009,2.82842712474619,2011
1989,Guillaume Caumon,1,2001,2001,0,2001
1990,Guillaume Colin de Verdière,1,2009,2009,0,2009
1991,Guillaume Favelier,2,2017,2017.5,0.707106781186548,2018
1992,Guillermo Wiese,1,1996,1996,0,1996
1993,Guizhen Wang,1,2020,2020,0,2020
1994,Gulshan Panjwani,1,2005,2005,0,2005
1995,Gunnar Läthén,1,2012,2012,0,2012
1996,Gunther H. Weber,6,1999,2008.16666666667,7.19490560512552,2019
1997,Gunther Heidemann,2,2012,2012,0,2012
1998,Gunther Liebich,1,1996,1996,0,1996
1999,Guo-Shi Li,2,2003,2004,1.4142135623731,2005
2000,Guo-Xun Yuan,1,2012,2012,0,2012
2001,Guodao Sun,1,2014,2014,0,2014
2002,Guoli Yan,1,2020,2020,0,2020
2003,Guoliang Li 0001,1,2021,2021,0,2021
2004,Guoning Chen,5,2010,2015.4,4.56070170039655,2020
2005,Guoray Cai,1,2007,2007,0,2007
2006,Guowei Huang,1,2015,2015,0,2015
2007,Guozheng Li 0002,1,2019,2019,0,2019
2008,Guozhong Dai,1,2009,2009,0,2009
2009,Guozhong Zhuang,1,1999,1999,0,1999
2010,Guru M. Parulkar,1,1991,1991,0,1991
2011,Gustavo Mello Machado,2,2009,2011.5,3.53553390593274,2014
2012,Guy Albertelli,1,1997,1997,0,1997
2013,Guy Danon,1,2008,2008,0,2008
2014,Guy Lebanon,2,2007,2007.5,0.707106781186548,2008
2015,Guy Melançon,5,2000,2005.4,4.50555213042752,2011
